"State","Date","Confirmed","Deaths"
"South Carolina","2021-07-18",601803,9862
"South Dakota","2021-07-18",124764,2041
"Tennessee","2021-07-18",873685,12625
"Texas","2021-07-18",3041410,52827
"Utah","2021-07-18",422619,2413
"Vermont","2021-07-18",24550,258
"Virginia","2021-07-18",684499,11477
"Washington","2021-07-18",460067,6042
"West Virginia","2021-07-18",164933,2919
"Wisconsin","2021-07-18",679826,8209
"Wyoming","2021-07-18",63523,760
"Alabama","2021-07-19",560920,11443
"Alaska","2021-07-19",72899,381
"Arizona","2021-07-19",909282,18117
"Arkansas","2021-07-19",365132,6007
"California","2021-07-19",3929582,64133
"Colorado","2021-07-19",566670,6886
"Connecticut","2021-07-19",351084,8282
"Delaware","2021-07-19",110423,1697
"District of Columbia","2021-07-19",49793,1146
"Florida","2021-07-19",2450344,38388
"Georgia","2021-07-19",1149266,21564
"Hawaii","2021-07-19",39386,523
"Idaho","2021-07-19",197211,2176
"Illinois","2021-07-19",1402763,25810
"Indiana","2021-07-19",761472,13952
"Iowa","2021-07-19",375278,6158
"Kansas","2021-07-19",325184,5199
"Kentucky","2021-07-19",470680,7301
"Louisiana","2021-07-19",499932,10841
"Maine","2021-07-19",69476,882
"Maryland","2021-07-19",464336,9782
"Massachusetts","2021-07-19",713037,18024
"Michigan","2021-07-19",1003432,21109
"Minnesota","2021-07-19",607784,7731
"Mississippi","2021-07-19",329130,7468
"Missouri","2021-07-19",654368,9897
"Montana","2021-07-19",114742,1692
"Nebraska","2021-07-19",225861,2275
"Nevada","2021-07-19",345163,5761
"New Hampshire","2021-07-19",99966,1382
"New Jersey","2021-07-19",1029243,26545
"New Mexico","2021-07-19",207566,4383
"New York","2021-07-19",2127592,53570
"North Carolina","2021-07-19",1025826,13535
"North Dakota","2021-07-19",111019,1568
"Ohio","2021-07-19",1117769,20613
"Oklahoma","2021-07-19",466733,7417
"Oregon","2021-07-19",212755,2826
"Pennsylvania","2021-07-19",1221350,27795
"Rhode Island","2021-07-19",153103,2737
"South Carolina","2021-07-19",603641,9857
"South Dakota","2021-07-19",124764,2041
"Tennessee","2021-07-19",875628,12630
"Texas","2021-07-19",3044072,52839
"Utah","2021-07-19",424171,2416
"Vermont","2021-07-19",24579,259
"Virginia","2021-07-19",685485,11483
"Washington","2021-07-19",461847,6043
"West Virginia","2021-07-19",165177,2919
"Wisconsin","2021-07-19",680252,8212
"Wyoming","2021-07-19",63709,760
"Alabama","2021-07-20",562311,11460
"Alaska","2021-07-20",72899,381
"Arizona","2021-07-20",910436,18117
"Arkansas","2021-07-20",367007,6007
"California","2021-07-20",3938404,64144
"Colorado","2021-07-20",567215,6889
"Connecticut","2021-07-20",351302,8282
"Delaware","2021-07-20",110457,1697
"District of Columbia","2021-07-20",49827,1146
"Florida","2021-07-20",2450344,38388
"Georgia","2021-07-20",1150835,21571
"Hawaii","2021-07-20",39486,523
"Idaho","2021-07-20",197456,2177
"Illinois","2021-07-20",1403508,25816
"Indiana","2021-07-20",762127,13958
"Iowa","2021-07-20",375278,6158
"Kansas","2021-07-20",325184,5199
"Kentucky","2021-07-20",471669,7304
"Louisiana","2021-07-20",501494,10861
"Maine","2021-07-20",69627,882
"Maryland","2021-07-20",464491,9788
"Massachusetts","2021-07-20",713489,18033
"Michigan","2021-07-20",1004630,21124
"Minnesota","2021-07-20",608405,7732
"Mississippi","2021-07-20",329703,7477
"Missouri","2021-07-20",656484,9938
"Montana","2021-07-20",114899,1693
"Nebraska","2021-07-20",226307,2281
"Nevada","2021-07-20",346167,5761
"New Hampshire","2021-07-20",100025,1384
"New Jersey","2021-07-20",1029901,26557
"New Mexico","2021-07-20",207701,4387
"New York","2021-07-20",2128710,53574
"North Carolina","2021-07-20",1026697,13541
"North Dakota","2021-07-20",111067,1568
"Ohio","2021-07-20",1118513,20621
"Oklahoma","2021-07-20",467198,7417
"Oregon","2021-07-20",213339,2832
"Pennsylvania","2021-07-20",1221836,27805
"Rhode Island","2021-07-20",153168,2738
"South Carolina","2021-07-20",603973,9860
"South Dakota","2021-07-20",124764,2041
"Tennessee","2021-07-20",876543,12638
"Texas","2021-07-20",3049688,52865
"Utah","2021-07-20",424730,2420
"Vermont","2021-07-20",24590,259
"Virginia","2021-07-20",686206,11487
"Washington","2021-07-20",462577,6056
"West Virginia","2021-07-20",165259,2919
"Wisconsin","2021-07-20",680743,8223
"Wyoming","2021-07-20",63840,766
"Alabama","2021-07-21",563943,11462
"Alaska","2021-07-21",73374,382
"Arizona","2021-07-21",911479,18127
"Arkansas","2021-07-21",368466,6020
"California","2021-07-21",3944529,64163
"Colorado","2021-07-21",567838,6895
"Connecticut","2021-07-21",351530,8282
"Delaware","2021-07-21",110502,1697
"District of Columbia","2021-07-21",49858,1146
"Florida","2021-07-21",2450344,38388
"Georgia","2021-07-21",1153064,21593
"Hawaii","2021-07-21",39649,524
"Idaho","2021-07-21",197781,2179
"Illinois","2021-07-21",1404466,25825
"Indiana","2021-07-21",762837,13964
"Iowa","2021-07-21",376673,6170
"Kansas","2021-07-21",325216,5199
"Kentucky","2021-07-21",472605,7306
"Louisiana","2021-07-21",506882,10874
"Maine","2021-07-21",69675,887
"Maryland","2021-07-21",464735,9792
"Massachusetts","2021-07-21",714014,18034
"Michigan","2021-07-21",1004630,21124
"Minnesota","2021-07-21",608678,7737
"Mississippi","2021-07-21",330664,7485
"Missouri","2021-07-21",659414,9946
"Montana","2021-07-21",115002,1694
"Nebraska","2021-07-21",226442,2285
"Nevada","2021-07-21",347098,5789
"New Hampshire","2021-07-21",100072,1384
"New Jersey","2021-07-21",1030600,26562
"New Mexico","2021-07-21",207972,4392
"New York","2021-07-21",2129897,53581
"North Carolina","2021-07-21",1028131,13550
"North Dakota","2021-07-21",111093,1569
"Ohio","2021-07-21",1119298,20628
"Oklahoma","2021-07-21",468401,7454
"Oregon","2021-07-21",213730,2833
"Pennsylvania","2021-07-21",1222311,27813
