"State","Date","Confirmed","Deaths"
"Utah","2021-07-29",431256,2450
"Vermont","2021-07-29",24830,259
"Virginia","2021-07-29",693206,11525
"Washington","2021-07-29",472362,6119
"West Virginia","2021-07-29",166748,2944
"Wisconsin","2021-07-29",686013,8287
"Wyoming","2021-07-29",64955,776
"Alabama","2021-07-30",577463,11510
"Alaska","2021-07-30",75486,389
"Arizona","2021-07-30",925169,18224
"Arkansas","2021-07-30",385113,6123
"California","2021-07-30",4016354,64423
"Colorado","2021-07-30",575082,6945
"Connecticut","2021-07-30",354335,8293
"Delaware","2021-07-30",111275,1830
"District of Columbia","2021-07-30",50398,1149
"Florida","2021-07-30",2634234,39079
"Georgia","2021-07-30",1179449,21676
"Hawaii","2021-07-30",41925,537
"Idaho","2021-07-30",200484,2197
"Illinois","2021-07-30",1419611,25873
"Indiana","2021-07-30",771299,14005
"Iowa","2021-07-30",378831,6183
"Kansas","2021-07-30",333850,5261
"Kentucky","2021-07-30",482599,7334
"Louisiana","2021-07-30",541679,10999
"Maine","2021-07-30",70372,899
"Maryland","2021-07-30",467961,9818
"Massachusetts","2021-07-30",719780,18082
"Michigan","2021-07-30",1011106,21188
"Minnesota","2021-07-30",612701,7761
"Mississippi","2021-07-30",343505,7543
"Missouri","2021-07-30",683802,10081
"Montana","2021-07-30",116366,1704
"Nebraska","2021-07-30",228450,2280
"Nevada","2021-07-30",356401,5912
"New Hampshire","2021-07-30",100657,1387
"New Jersey","2021-07-30",1038171,26595
"New Mexico","2021-07-30",210416,4410
"New York","2021-07-30",2147318,53632
"North Carolina","2021-07-30",1048076,13635
"North Dakota","2021-07-30",111570,1570
"Ohio","2021-07-30",1127808,20676
"Oklahoma","2021-07-30",480635,7485
"Oregon","2021-07-30",219755,2858
"Pennsylvania","2021-07-30",1229002,27850
"Rhode Island","2021-07-30",154339,2740
"South Carolina","2021-07-30",617148,9904
"South Dakota","2021-07-30",125225,2045
"Tennessee","2021-07-30",893554,12724
"Texas","2021-07-30",3133639,53248
"Utah","2021-07-30",432467,2451
"Vermont","2021-07-30",24889,260
"Virginia","2021-07-30",694384,11532
"Washington","2021-07-30",473076,6122
"West Virginia","2021-07-30",167016,2946
"Wisconsin","2021-07-30",687198,8290
"Wyoming","2021-07-30",65127,776
"Alabama","2021-07-31",585607,11536
"Alaska","2021-07-31",75486,389
"Arizona","2021-07-31",927235,18246
"Arkansas","2021-07-31",386452,6141
"California","2021-07-31",4020727,64425
"Colorado","2021-07-31",575082,6945
"Connecticut","2021-07-31",354335,8293
"Delaware","2021-07-31",111407,1833
"District of Columbia","2021-07-31",50398,1149
"Florida","2021-07-31",2634234,39079
"Georgia","2021-07-31",1179449,21676
"Hawaii","2021-07-31",42410,537
"Idaho","2021-07-31",200484,2197
"Illinois","2021-07-31",1419611,25873
"Indiana","2021-07-31",771299,14005
"Iowa","2021-07-31",378831,6183
"Kansas","2021-07-31",333850,5261
"Kentucky","2021-07-31",482599,7334
"Louisiana","2021-07-31",541679,10999
"Maine","2021-07-31",70463,900
"Maryland","2021-07-31",468548,9825
"Massachusetts","2021-07-31",719780,18082
"Michigan","2021-07-31",1011106,21188
"Minnesota","2021-07-31",612701,7761
"Mississippi","2021-07-31",343505,7543
"Missouri","2021-07-31",686547,10099
"Montana","2021-07-31",116366,1704
"Nebraska","2021-07-31",228450,2280
"Nevada","2021-07-31",356401,5912
"New Hampshire","2021-07-31",100657,1387
"New Jersey","2021-07-31",1039353,26602
"New Mexico","2021-07-31",210416,4410
"New York","2021-07-31",2150390,53641
"North Carolina","2021-07-31",1048076,13635
"North Dakota","2021-07-31",111644,1570
"Ohio","2021-07-31",1129277,20687
"Oklahoma","2021-07-31",480635,7485
"Oregon","2021-07-31",219755,2858
"Pennsylvania","2021-07-31",1229002,27850
"Rhode Island","2021-07-31",154339,2740
"South Carolina","2021-07-31",617148,9904
"South Dakota","2021-07-31",125225,2045
"Tennessee","2021-07-31",893554,12724
"Texas","2021-07-31",3138837,53277
"Utah","2021-07-31",432467,2451
"Vermont","2021-07-31",24889,260
"Virginia","2021-07-31",694384,11532
"Washington","2021-07-31",473076,6122
"West Virginia","2021-07-31",167016,2946
"Wisconsin","2021-07-31",687198,8290
"Wyoming","2021-07-31",65127,776
"Alabama","2021-08-01",587405,11536
"Alaska","2021-08-01",75486,389
"Arizona","2021-08-01",929541,18251
"Arkansas","2021-08-01",388436,6157
"California","2021-08-01",4042789,64429
"Colorado","2021-08-01",575082,6945
"Connecticut","2021-08-01",354335,8293
"Delaware","2021-08-01",111563,1833
"District of Columbia","2021-08-01",50398,1149
"Florida","2021-08-01",2634234,39079
"Georgia","2021-08-01",1179449,21676
"Hawaii","2021-08-01",42862,537
"Idaho","2021-08-01",200484,2197
"Illinois","2021-08-01",1419611,25873
"Indiana","2021-08-01",771299,14005
"Iowa","2021-08-01",378831,6183
"Kansas","2021-08-01",333850,5261
"Kentucky","2021-08-01",482599,7334
"Louisiana","2021-08-01",541679,10999
"Maine","2021-08-01",70463,900
"Maryland","2021-08-01",469095,9828
"Massachusetts","2021-08-01",719780,18082
"Michigan","2021-08-01",1011106,21188
"Minnesota","2021-08-01",612701,7761
"Mississippi","2021-08-01",343505,7543
"Missouri","2021-08-01",688472,10102
"Montana","2021-08-01",116366,1704
"Nebraska","2021-08-01",228450,2280
"Nevada","2021-08-01",356401,5912
"New Hampshire","2021-08-01",100657,1387
"New Jersey","2021-08-01",1040281,26607
"New Mexico","2021-08-01",210416,4410
"New York","2021-08-01",2152964,53650
"North Carolina","2021-08-01",1048076,13635
"North Dakota","2021-08-01",111674,1570
"Ohio","2021-08-01",1130134,20694
"Oklahoma","2021-08-01",480635,7485
"Oregon","2021-08-01",219755,2858
"Pennsylvania","2021-08-01",1230742,27856
"Rhode Island","2021-08-01",154339,2740
"South Carolina","2021-08-01",617148,9904
"South Dakota","2021-08-01",125225,2045
"Tennessee","2021-08-01",893554,12724
"Texas","2021-08-01",3142184,53296
"Utah","2021-08-01",432467,2451
"Vermont","2021-08-01",24889,260
"Virginia","2021-08-01",694384,11532
"Washington","2021-08-01",473076,6122
"West Virginia","2021-08-01",167016,2946
"Wisconsin","2021-08-01",687198,8290
"Wyoming","2021-08-01",65127,776
"Alabama","2021-08-02",589110,11536
"Alaska","2021-08-02",76237,389
"Arizona","2021-08-02",931387,18252
"Arkansas","2021-08-02",389280,6199
"California","2021-08-02",4052512,64547
"Colorado","2021-08-02",577285,6956
"Connecticut","2021-08-02",355580,8293
"Delaware","2021-08-02",111681,1833
"District of Columbia","2021-08-02",50718,1149
"Florida","2021-08-02",2634234,39079
"Georgia","2021-08-02",1185594,21698
"Hawaii","2021-08-02",43227,537
"Idaho","2021-08-02",201352,2203
"Illinois","2021-08-02",1425219,25884
"Indiana","2021-08-02",774097,14012
"Iowa","2021-08-02",378831,6183
"Kansas","2021-08-02",333926,5261
"Kentucky","2021-08-02",486115,7348
"Louisiana","2021-08-02",552787,11026
"Maine","2021-08-02",70463,900
"Maryland","2021-08-02",469542,9829
"Massachusetts","2021-08-02",721885,18084
"Michigan","2021-08-02",1011106,21188
"Minnesota","2021-08-02",613325,7767
"Mississippi","2021-08-02",348496,7556
"Missouri","2021-08-02",689673,10106
"Montana","2021-08-02",116634,1708
"Nebraska","2021-08-02",228450,2280
"Nevada","2021-08-02",358932,5918
"New Hampshire","2021-08-02",100986,1387
"New Jersey","2021-08-02",1041159,26606
"New Mexico","2021-08-02",211492,4414
"New York","2021-08-02",2155356,53657
"North Carolina","2021-08-02",1056699,13670
"North Dakota","2021-08-02",111699,1570
"Ohio","2021-08-02",1131029,20704
"Oklahoma","2021-08-02",486232,7485
"Oregon","2021-08-02",221799,2863
"Pennsylvania","2021-08-02",1232238,27857
"Rhode Island","2021-08-02",154790,2740
"South Carolina","2021-08-02",623947,9915
"South Dakota","2021-08-02",125225,2045
"Tennessee","2021-08-02",900418,12749
"Texas","2021-08-02",3151893,53329
"Utah","2021-08-02",434711,2466
"Vermont","2021-08-02",25038,260
"Virginia","2021-08-02",697939,11534
"Washington","2021-08-02",475881,6127
"West Virginia","2021-08-02",167681,2949
"Wisconsin","2021-08-02",689285,8295
"Wyoming","2021-08-02",65467,776
"Alabama","2021-08-03",592417,11542
"Alaska","2021-08-03",76532,391
"Arizona","2021-08-03",933361,18282
"Arkansas","2021-08-03",391623,6215
"California","2021-08-03",4062547,64598
"Colorado","2021-08-03",578276,6957
"Connecticut","2021-08-03",356164,8292
"Delaware","2021-08-03",111762,1833
"District of Columbia","2021-08-03",50800,1149
"Florida","2021-08-03",2634234,39079
"Georgia","2021-08-03",1194768,21723
"Hawaii","2021-08-03",43616,538
"Idaho","2021-08-03",202032,2209
"Illinois","2021-08-03",1427901,25891
"Indiana","2021-08-03",775686,14025
"Iowa","2021-08-03",378831,6183
"Kansas","2021-08-03",333926,5261
"Kentucky","2021-08-03",487871,7352
"Louisiana","2021-08-03",557540,11085
"Maine","2021-08-03",70718,900
"Maryland","2021-08-03",469910,9835
"Massachusetts","2021-08-03",722986,18086
"Michigan","2021-08-03",1014087,21216
"Minnesota","2021-08-03",614990,7771
"Mississippi","2021-08-03",350070,7590
"Missouri","2021-08-03",692340,10193
"Montana","2021-08-03",117033,1716
"Nebraska","2021-08-03",229443,2281
"Nevada","2021-08-03",360147,5929
"New Hampshire","2021-08-03",101155,1388
"New Jersey","2021-08-03",1042472,26614
"New Mexico","2021-08-03",211970,4415
"New York","2021-08-03",2158388,53670
"North Carolina","2021-08-03",1058887,13679
"North Dakota","2021-08-03",111837,1571
"Ohio","2021-08-03",1132798,20716
"Oklahoma","2021-08-03",487178,7485
"Oregon","2021-08-03",223364,2872
"Pennsylvania","2021-08-03",1233461,27868
"Rhode Island","2021-08-03",154985,2740
"South Carolina","2021-08-03",626038,9917
"South Dakota","2021-08-03",125225,2045
"Tennessee","2021-08-03",903095,12766
"Texas","2021-08-03",3172919,53395
"Utah","2021-08-03",435439,2471
"Vermont","2021-08-03",25077,260
"Virginia","2021-08-03",699342,11536
"Washington","2021-08-03",481357,6136
"West Virginia","2021-08-03",167948,2954
"Wisconsin","2021-08-03",690856,8299
"Wyoming","2021-08-03",65704,786
"Alabama","2021-08-04",595816,11561
"Alaska","2021-08-04",76874,393
"Arizona","2021-08-04",935647,18289
"Arkansas","2021-08-04",394461,6230
"California","2021-08-04",4072697,64620
"Colorado","2021-08-04",579366,6963
"Connecticut","2021-08-04",356701,8292
"Delaware","2021-08-04",111884,1833
"District of Columbia","2021-08-04",50858,1149
"Florida","2021-08-04",2634234,39079
"Georgia","2021-08-04",1199628,21735
"Hawaii","2021-08-04",43962,538
"Idaho","2021-08-04",202669,2210
"Illinois","2021-08-04",1430265,25909
"Indiana","2021-08-04",777417,14039
"Iowa","2021-08-04",382401,6193
"Kansas","2021-08-04",334125,5264
"Kentucky","2021-08-04",490399,7362
"Louisiana","2021-08-04",562319,11129
"Maine","2021-08-04",70847,900
"Maryland","2021-08-04",470605,9840
"Massachusetts","2021-08-04",724018,18086
"Michigan","2021-08-04",1014087,21216
"Minnesota","2021-08-04",615923,7776
"Mississippi","2021-08-04",352891,7597
"Missouri","2021-08-04",696700,10219
"Montana","2021-08-04",117328,1718
"Nebraska","2021-08-04",229824,2285
"Nevada","2021-08-04",361140,5953
"New Hampshire","2021-08-04",101277,1389
"New Jersey","2021-08-04",1043702,26625
"New Mexico","2021-08-04",212577,4416
"New York","2021-08-04",2161314,53676
"North Carolina","2021-08-04",1062300,13700
"North Dakota","2021-08-04",111933,1572
"Ohio","2021-08-04",1134965,20724
"Oklahoma","2021-08-04",489338,7531
"Oregon","2021-08-04",224547,2877
"Pennsylvania","2021-08-04",1235196,27883
"Rhode Island","2021-08-04",155287,2743
"South Carolina","2021-08-04",628202,9930
"South Dakota","2021-08-04",125599,2052
"Tennessee","2021-08-04",906893,12776
"Texas","2021-08-04",3185937,53457
"Utah","2021-08-04",436489,2479
"Vermont","2021-08-04",25129,260
"Virginia","2021-08-04",701059,11541
"Washington","2021-08-04",483389,6145
"West Virginia","2021-08-04",168330,2956
"Wisconsin","2021-08-04",692189,8302
"Wyoming","2021-08-04",65953,786
"Alabama","2021-08-05",599633,11574
"Alaska","2021-08-05",77253,398
"Arizona","2021-08-05",937936,18300
"Arkansas","2021-08-05",397238,6247
"California","2021-08-05",4087796,64694
"Colorado","2021-08-05",580610,6970
"Connecticut","2021-08-05",357345,8296
"Delaware","2021-08-05",112070,1833
"District of Columbia","2021-08-05",50975,1149
"Florida","2021-08-05",2634234,39079
"Georgia","2021-08-05",1205434,21767
"Hawaii","2021-08-05",44617,538
"Idaho","2021-08-05",203412,2214
"Illinois","2021-08-05",1433313,25923
"Indiana","2021-08-05",779317,14045
"Iowa","2021-08-05",382401,6193
"Kansas","2021-08-05",338312,5292
"Kentucky","2021-08-05",492556,7366
"Louisiana","2021-08-05",567787,11162
"Maine","2021-08-05",70996,900
"Maryland","2021-08-05",471334,9842
"Massachusetts","2021-08-05",725189,18093
"Michigan","2021-08-05",1014087,21216
"Minnesota","2021-08-05",616784,7781
"Mississippi","2021-08-05",356055,7613
"Missouri","2021-08-05",700748,10243
"Montana","2021-08-05",117610,1720
"Nebraska","2021-08-05",230236,2289
"Nevada","2021-08-05",362275,5979
"New Hampshire","2021-08-05",101505,1389
"New Jersey","2021-08-05",1045168,26629
"New Mexico","2021-08-05",213247,4419
"New York","2021-08-05",2164850,53691
"North Carolina","2021-08-05",1066631,13724
"North Dakota","2021-08-05",112050,1572
"Ohio","2021-08-05",1136934,20733
"Oklahoma","2021-08-05",491680,7531
"Oregon","2021-08-05",225919,2885
"Pennsylvania","2021-08-05",1236887,27890
"Rhode Island","2021-08-05",155527,2743
"South Carolina","2021-08-05",631037,9939
"South Dakota","2021-08-05",125599,2052
"Tennessee","2021-08-05",910185,12791
"Texas","2021-08-05",3201476,53538
"Utah","2021-08-05",437585,2486
"Vermont","2021-08-05",25219,260
"Virginia","2021-08-05",702819,11546
"Washington","2021-08-05",486303,6155
"West Virginia","2021-08-05",168733,2961
"Wisconsin","2021-08-05",693933,8305
"Wyoming","2021-08-05",66200,786
"Alabama","2021-08-06",603318,11600
"Alaska","2021-08-06",77586,398
"Arizona","2021-08-06",940762,18342
"Arkansas","2021-08-06",400275,6269
"California","2021-08-06",4101664,64731
"Colorado","2021-08-06",581692,6978
"Connecticut","2021-08-06",358076,8296
"Delaware","2021-08-06",112298,1833
"District of Columbia","2021-08-06",51103,1149
"Florida","2021-08-06",2768985,39695
"Georgia","2021-08-06",1211439,21802
"Hawaii","2021-08-06",45245,540
"Idaho","2021-08-06",204091,2217
"Illinois","2021-08-06",1436353,25936
"Indiana","2021-08-06",781326,14054
"Iowa","2021-08-06",382401,6193
"Kansas","2021-08-06",340491,5305
"Kentucky","2021-08-06",495132,7372
"Louisiana","2021-08-06",573903,11210
"Maine","2021-08-06",71141,900
"Maryland","2021-08-06",472224,9846
"Massachusetts","2021-08-06",726395,18095
"Michigan","2021-08-06",1018601,21221
"Minnesota","2021-08-06",617788,7787
"Mississippi","2021-08-06",358149,7621
"Missouri","2021-08-06",703914,10265
"Montana","2021-08-06",117882,1722
"Nebraska","2021-08-06",230630,2289
"Nevada","2021-08-06",363574,6005
"New Hampshire","2021-08-06",101662,1389
"New Jersey","2021-08-06",1046514,26636
"New Mexico","2021-08-06",213793,4425
"New York","2021-08-06",2168589,53694
"North Carolina","2021-08-06",1071137,13736
"North Dakota","2021-08-06",112169,1573
"Ohio","2021-08-06",1138600,20743
"Oklahoma","2021-08-06",493983,7531
"Oregon","2021-08-06",226899,2889
"Pennsylvania","2021-08-06",1238552,27898
"Rhode Island","2021-08-06",155825,2743
"South Carolina","2021-08-06",634310,9950
"South Dakota","2021-08-06",125599,2052
"Tennessee","2021-08-06",914110,12820
"Texas","2021-08-06",3224572,53607
"Utah","2021-08-06",438479,2494
"Vermont","2021-08-06",25320,260
"Virginia","2021-08-06",704664,11558
"Washington","2021-08-06",488640,6168
"West Virginia","2021-08-06",169162,2965
"Wisconsin","2021-08-06",695245,8300
"Wyoming","2021-08-06",66453,786
"Alabama","2021-08-07",607209,11624
"Alaska","2021-08-07",77586,398
"Arizona","2021-08-07",943415,18376
"Arkansas","2021-08-07",402908,6290
"California","2021-08-07",4114343,64754
"Colorado","2021-08-07",581692,6978
"Connecticut","2021-08-07",358076,8296
"Delaware","2021-08-07",112558,1835
"District of Columbia","2021-08-07",51103,1149
"Florida","2021-08-07",2768985,39695
"Georgia","2021-08-07",1211439,21802
"Hawaii","2021-08-07",45860,542
"Idaho","2021-08-07",204091,2217
"Illinois","2021-08-07",1436353,25936
"Indiana","2021-08-07",781326,14054
"Iowa","2021-08-07",382401,6193
"Kansas","2021-08-07",340491,5305
"Kentucky","2021-08-07",495132,7372
"Louisiana","2021-08-07",573903,11210
"Maine","2021-08-07",71306,901
"Maryland","2021-08-07",473116,9849
"Massachusetts","2021-08-07",726395,18095
"Michigan","2021-08-07",1018601,21221
"Minnesota","2021-08-07",617788,7787
"Mississippi","2021-08-07",358149,7621
"Missouri","2021-08-07",706578,10274
"Montana","2021-08-07",117882,1722
"Nebraska","2021-08-07",231069,2290
"Nevada","2021-08-07",363574,6005
"New Hampshire","2021-08-07",101662,1389
"New Jersey","2021-08-07",1048053,26645
"New Mexico","2021-08-07",213793,4425
"New York","2021-08-07",2173080,53729
"North Carolina","2021-08-07",1071137,13736
"North Dakota","2021-08-07",112285,1573
"Ohio","2021-08-07",1140917,20750
"Oklahoma","2021-08-07",493983,7531
"Oregon","2021-08-07",226899,2889
"Pennsylvania","2021-08-07",1239996,27900
"Rhode Island","2021-08-07",155825,2743
"South Carolina","2021-08-07",634310,9950
"South Dakota","2021-08-07",125599,2052
"Tennessee","2021-08-07",914110,12820
"Texas","2021-08-07",3235644,53661
"Utah","2021-08-07",438479,2494
"Vermont","2021-08-07",25320,260
"Virginia","2021-08-07",704664,11558
"Washington","2021-08-07",488640,6168
"West Virginia","2021-08-07",169162,2965
"Wisconsin","2021-08-07",695245,8300
"Wyoming","2021-08-07",66453,786
"Alabama","2021-08-08",607209,11624
"Alaska","2021-08-08",77586,398
"Arizona","2021-08-08",946054,18388
"Arkansas","2021-08-08",404277,6301
"California","2021-08-08",4123932,64784
"Colorado","2021-08-08",581692,6978
"Connecticut","2021-08-08",358076,8296
"Delaware","2021-08-08",112772,1835
"District of Columbia","2021-08-08",51103,1149
"Florida","2021-08-08",2768985,39695
"Georgia","2021-08-08",1211439,21802
"Hawaii","2021-08-08",46503,542
"Idaho","2021-08-08",204091,2217
"Illinois","2021-08-08",1436353,25936
"Indiana","2021-08-08",781326,14054
"Iowa","2021-08-08",382401,6193
"Kansas","2021-08-08",340491,5305
"Kentucky","2021-08-08",495132,7372
"Louisiana","2021-08-08",573903,11210
"Maine","2021-08-08",71306,901
"Maryland","2021-08-08",473969,9857
"Massachusetts","2021-08-08",726395,18095
"Michigan","2021-08-08",1018601,21221
"Minnesota","2021-08-08",617788,7787
"Mississippi","2021-08-08",358149,7621
"Missouri","2021-08-08",708412,10275
"Montana","2021-08-08",117882,1722
"Nebraska","2021-08-08",231069,2290
"Nevada","2021-08-08",363574,6005
"New Hampshire","2021-08-08",101662,1389
"New Jersey","2021-08-08",1049222,26650
"New Mexico","2021-08-08",213793,4425
"New York","2021-08-08",2176658,53744
"North Carolina","2021-08-08",1071137,13736
"North Dakota","2021-08-08",112336,1573
"Ohio","2021-08-08",1142330,20767
"Oklahoma","2021-08-08",493983,7531
"Oregon","2021-08-08",226899,2889
"Pennsylvania","2021-08-08",1239996,27900
"Rhode Island","2021-08-08",155825,2743
"South Carolina","2021-08-08",634310,9950
"South Dakota","2021-08-08",125599,2052
"Tennessee","2021-08-08",914110,12820
"Texas","2021-08-08",3238016,53688
"Utah","2021-08-08",438479,2494
"Vermont","2021-08-08",25320,260
"Virginia","2021-08-08",704664,11558
"Washington","2021-08-08",488640,6168
"West Virginia","2021-08-08",169162,2965
"Wisconsin","2021-08-08",695245,8300
"Wyoming","2021-08-08",66453,786
"Alabama","2021-08-09",612086,11625
"Alaska","2021-08-09",78441,399
"Arizona","2021-08-09",948245,18388
"Arkansas","2021-08-09",405272,6322
"California","2021-08-09",4136894,64800
"Colorado","2021-08-09",584462,6998
"Connecticut","2021-08-09",359363,8296
"Delaware","2021-08-09",112967,1835
"District of Columbia","2021-08-09",51589,1149
"Florida","2021-08-09",2768985,39695
"Georgia","2021-08-09",1224480,21831
"Hawaii","2021-08-09",46940,543
"Idaho","2021-08-09",205033,2224
"Illinois","2021-08-09",1444211,25965
"Indiana","2021-08-09",786272,14064
"Iowa","2021-08-09",382401,6193
"Kansas","2021-08-09",343203,5327
"Kentucky","2021-08-09",500267,7387
"Louisiana","2021-08-09",590446,11260
"Maine","2021-08-09",71305,901
"Maryland","2021-08-09",474555,9861
"Massachusetts","2021-08-09",729047,18098
"Michigan","2021-08-09",1021681,21228
"Minnesota","2021-08-09",618906,7791
"Mississippi","2021-08-09",365061,7649
"Missouri","2021-08-09",709631,10275
"Montana","2021-08-09",118270,1723
"Nebraska","2021-08-09",231069,2290
"Nevada","2021-08-09",366584,6040
"New Hampshire","2021-08-09",102117,1389
"New Jersey","2021-08-09",1050083,26650
"New Mexico","2021-08-09",215098,4425
"New York","2021-08-09",2178724,53750
"North Carolina","2021-08-09",1086938,13759
"North Dakota","2021-08-09",112393,1573
"Ohio","2021-08-09",1143599,20785
"Oklahoma","2021-08-09",500311,7531
"Oregon","2021-08-09",230103,2903
"Pennsylvania","2021-08-09",1242724,27903
"Rhode Island","2021-08-09",155825,2743
"South Carolina","2021-08-09",643621,9981
"South Dakota","2021-08-09",125599,2052
"Tennessee","2021-08-09",923520,12837
"Texas","2021-08-09",3250897,53727
"Utah","2021-08-09",440497,2503
"Vermont","2021-08-09",25571,262
"Virginia","2021-08-09",709319,11571
"Washington","2021-08-09",495338,6177
"West Virginia","2021-08-09",170199,2972
"Wisconsin","2021-08-09",697781,8306
"Wyoming","2021-08-09",67026,786
"Alabama","2021-08-10",615901,11648
"Alaska","2021-08-10",78701,400
"Arizona","2021-08-10",950827,18400
"Arkansas","2021-08-10",407892,6346
"California","2021-08-10",4148097,64853
"Colorado","2021-08-10",585352,7010
"Connecticut","2021-08-10",359638,8297
"Delaware","2021-08-10",113090,1836
"District of Columbia","2021-08-10",51589,1149
"Florida","2021-08-10",2782060,40167
"Georgia","2021-08-10",1231425,21862
"Hawaii","2021-08-10",47376,543
"Idaho","2021-08-10",205787,2226
"Illinois","2021-08-10",1447161,25975
"Indiana","2021-08-10",788468,14091
"Iowa","2021-08-10",385556,6193
"Kansas","2021-08-10",343203,5327
"Kentucky","2021-08-10",502712,7394
"Louisiana","2021-08-10",596534,11353
"Maine","2021-08-10",71666,901
"Maryland","2021-08-10",475184,9869
"Massachusetts","2021-08-10",730381,18112
"Michigan","2021-08-10",1021681,21228
"Minnesota","2021-08-10",620591,7798
"Mississippi","2021-08-10",368549,7685
"Missouri","2021-08-10",712083,10413
"Montana","2021-08-10",118754,1726
"Nebraska","2021-08-10",231916,2287
"Nevada","2021-08-10",367709,6080
"New Hampshire","2021-08-10",102205,1391
"New Jersey","2021-08-10",1051712,26659
"New Mexico","2021-08-10",215781,4430
"New York","2021-08-10",2180696,53760
"North Carolina","2021-08-10",1089923,13768
"North Dakota","2021-08-10",112560,1573
"Ohio","2021-08-10",1145925,20800
"Oklahoma","2021-08-10",501353,7531
"Oregon","2021-08-10",232436,2912
"Pennsylvania","2021-08-10",1244753,27914
"Rhode Island","2021-08-10",156539,2744
"South Carolina","2021-08-10",645859,9992
"South Dakota","2021-08-10",125599,2052
"Tennessee","2021-08-10",927010,12876
"Texas","2021-08-10",3272462,53831
"Utah","2021-08-10",441131,2511
"Vermont","2021-08-10",25663,263
"Virginia","2021-08-10",711078,11578
"Washington","2021-08-10",495357,6187
"West Virginia","2021-08-10",170656,2972
"Wisconsin","2021-08-10",699551,8311
"Wyoming","2021-08-10",67326,793
"Alabama","2021-08-11",619752,11689
"Alaska","2021-08-11",78701,400
"Arizona","2021-08-11",952797,18406
"Arkansas","2021-08-11",410832,6366
"California","2021-08-11",4159220,64493
"Colorado","2021-08-11",586562,7013
"Connecticut","2021-08-11",360552,8297
"Delaware","2021-08-11",113251,1836
"District of Columbia","2021-08-11",51853,1149
"Florida","2021-08-11",2806813,40171
"Georgia","2021-08-11",1238383,21894
"Hawaii","2021-08-11",47848,545
"Idaho","2021-08-11",206523,2236
"Illinois","2021-08-11",1451094,25984
"Indiana","2021-08-11",790926,14110
"Iowa","2021-08-11",387273,6210
"Kansas","2021-08-11",345910,5362
"Kentucky","2021-08-11",505632,7408
"Louisiana","2021-08-11",601941,11408
"Maine","2021-08-11",71883,901
"Maryland","2021-08-11",476070,9870
"Massachusetts","2021-08-11",731821,18121
"Michigan","2021-08-11",1025003,21252
"Minnesota","2021-08-11",622216,7808
"Mississippi","2021-08-11",371712,7710
"Missouri","2021-08-11",716187,10429
"Montana","2021-08-11",119123,1726
"Nebraska","2021-08-11",232399,2285
"Nevada","2021-08-11",368625,6096
"New Hampshire","2021-08-11",102353,1393
"New Jersey","2021-08-11",1053398,26665
"New Mexico","2021-08-11",216494,4437
"New York","2021-08-11",2187349,53799
"North Carolina","2021-08-11",1094886,13790
"North Dakota","2021-08-11",112744,1574
"Ohio","2021-08-11",1149318,20814
"Oklahoma","2021-08-11",503552,7594
"Oregon","2021-08-11",234393,2920
"Pennsylvania","2021-08-11",1246528,27925
"Rhode Island","2021-08-11",156824,2744
"South Carolina","2021-08-11",648508,10007
"South Dakota","2021-08-11",126458,2053
"Tennessee","2021-08-11",931107,12885
"Texas","2021-08-11",3293869,53939
"Utah","2021-08-11",442245,2518
"Vermont","2021-08-11",25757,263
"Virginia","2021-08-11",713195,11581
"Washington","2021-08-11",500434,6204
"West Virginia","2021-08-11",171199,2972
"Wisconsin","2021-08-11",701110,8314
"Wyoming","2021-08-11",67582,793
"Alabama","2021-08-12",623919,11724
"Alaska","2021-08-12",79485,403
"Arizona","2021-08-12",955767,18412
"Arkansas","2021-08-12",413150,6396
"California","2021-08-12",4173491,64529
"Colorado","2021-08-12",588230,7023
"Connecticut","2021-08-12",361294,8307
"Delaware","2021-08-12",113582,1837
"District of Columbia","2021-08-12",52005,1150
"Florida","2021-08-12",2827469,40528
"Georgia","2021-08-12",1245399,21929
"Hawaii","2021-08-12",48397,546
"Idaho","2021-08-12",207274,2236
"Illinois","2021-08-12",1454208,26008
"Indiana","2021-08-12",794077,14116
"Iowa","2021-08-12",387273,6210
"Kansas","2021-08-12",345910,5362
"Kentucky","2021-08-12",508310,7414
"Louisiana","2021-08-12",607228,11462
"Maine","2021-08-12",72119,903
"Maryland","2021-08-12",477117,9873
"Massachusetts","2021-08-12",733188,18131
"Michigan","2021-08-12",1025003,21252
"Minnesota","2021-08-12",623527,7816
"Mississippi","2021-08-12",376124,7730
"Missouri","2021-08-12",719820,10449
"Montana","2021-08-12",119519,1729
"Nebraska","2021-08-12",232399,2285
"Nevada","2021-08-12",369846,6120
"New Hampshire","2021-08-12",102659,1394
"New Jersey","2021-08-12",1055252,26672
"New Mexico","2021-08-12",217773,4441
"New York","2021-08-12",2192224,53830
"North Carolina","2021-08-12",1100786,13806
"North Dakota","2021-08-12",112894,1576
"Ohio","2021-08-12",1152590,20835
"Oklahoma","2021-08-12",506020,7594
"Oregon","2021-08-12",236698,2928
"Pennsylvania","2021-08-12",1248787,27941
"Rhode Island","2021-08-12",157188,2744
"South Carolina","2021-08-12",651787,10019
"South Dakota","2021-08-12",126611,2053
"Tennessee","2021-08-12",936614,12905
"Texas","2021-08-12",3306267,54057
"Utah","2021-08-12",443488,2521
"Vermont","2021-08-12",25883,264
